[2026-04-16 12:22:23.631569] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39328 > 192.168.1.191:4713 S
[2026-04-16 12:22:29.598023] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:46870 > 192.168.1.191:4713 S
[2026-04-16 12:22:30.550429] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:46870 > 192.168.1.191:4713 S
[2026-04-16 12:22:31.572790] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:46870 > 192.168.1.191:4713 S
[2026-04-16 12:22:32.594021] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:46870 > 192.168.1.191:4713 S
[2026-04-16 12:22:33.618916] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:46870 > 192.168.1.191:4713 S
[2026-04-16 12:22:39.451226] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:59574 > 192.168.1.191:4713 S
[2026-04-16 12:22:40.466909] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:59574 > 192.168.1.191:4713 S
[2026-04-16 12:22:41.491344] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:59574 > 192.168.1.191:4713 S
[2026-04-16 12:22:42.521734] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:59574 > 192.168.1.191:4713 S
[2026-04-16 12:22:43.543651] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:59574 > 192.168.1.191:4713 S
[2026-04-16 12:22:49.451040] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39746 > 192.168.1.191:4713 S
[2026-04-16 12:22:50.481858] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39746 > 192.168.1.191:4713 S
[2026-04-16 12:22:51.505683] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39746 > 192.168.1.191:4713 S
[2026-04-16 12:22:52.530180] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39746 > 192.168.1.191:4713 S
[2026-04-16 12:22:53.554228] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39746 > 192.168.1.191:4713 S
